instance,path,time(ms)
1,8.648571749039572,818.93
1,8.648571749039572,458.74
1,8.648571749039572,423.40
1,8.648571749039572,293.86
1,8.648571749039572,811.84
1,8.648571749039572,818.55
1,8.648571749039572,316.61
1,8.648571749039572,321.58
1,8.648571749039572,319.83
1,8.648571749039572,400.93
1,8.648571749039572,786.18
1,8.648571749039572,435.74
1,8.648571749039572,771.02
1,8.648571749039572,806.63
1,8.648571749039572,423.84
1,8.648571749039572,357.53
1,8.648571749039572,523.03
1,8.648571749039572,815.63
1,8.648571749039572,789.69
1,8.648571749039572,431.96
1,8.648571749039572,444.86
1,8.648571749039572,365.52
1,8.648571749039572,304.31
1,8.648571749039572,846.13
1,8.648571749039572,387.37
1,8.648571749039572,398.61
1,8.648571749039572,465.75
1,8.648571749039572,841.32
1,8.648571749039572,462.87
1,8.648571749039572,821.91
1,8.648571749039572,422.33
1,8.648571749039572,447.99
1,8.648571749039572,801.62
1,8.648571749039572,431.86
1,8.648571749039572,313.66
1,8.648571749039572,480.32
1,8.648571749039572,362.69
1,8.648571749039572,373.31
1,8.648571749039572,495.41
1,8.648571749039572,380.03
1,8.648571749039572,489.74
1,8.648571749039572,564.07
1,8.648571749039572,410.68
1,8.648571749039572,443.35
1,8.648571749039572,344.85
1,8.648571749039572,442.45
1,8.648571749039572,399.74
1,8.648571749039572,824.14
1,8.648571749039572,819.19
1,8.648571749039572,471.01
1,8.648571749039572,664.83
1,8.648571749039572,280.46
1,8.648571749039572,843.45
1,8.648571749039572,268.34
1,8.648571749039572,960.12
1,8.648571749039572,386.48
1,8.648571749039572,291.85
1,8.648571749039572,395.97
1,8.648571749039572,917.28
1,8.648571749039572,889.89
1,8.648571749039572,892.41
1,8.648571749039572,301.68
1,8.648571749039572,283.64
1,8.648571749039572,407.51
1,8.648571749039572,462.07
1,8.648571749039572,1091.30
1,8.648571749039572,1017.05
1,8.648571749039572,847.81
1,8.648571749039572,344.56
1,8.648571749039572,418.40
1,8.648571749039572,296.25
1,8.648571749039572,333.65
1,8.648571749039572,373.61
1,8.648571749039572,322.22
1,8.648571749039572,447.65
1,8.648571749039572,1004.89
1,8.648571749039572,1019.54
1,8.648571749039572,320.23
1,8.648571749039572,929.84
1,8.648571749039572,805.42
1,8.648571749039572,817.68
1,8.648571749039572,482.63
1,8.648571749039572,326.90
1,8.648571749039572,829.86
1,8.648571749039572,822.67
1,8.648571749039572,401.65
1,8.648571749039572,324.39
1,8.648571749039572,825.67
1,8.648571749039572,441.68
1,8.648571749039572,620.34
1,8.648571749039572,771.83
1,8.648571749039572,902.18
1,8.648571749039572,450.75
1,8.648571749039572,423.12
1,8.648571749039572,983.42
1,8.648571749039572,272.92
1,8.648571749039572,342.52
1,8.648571749039572,333.45
1,8.648571749039572,399.62
1,8.648571749039572,333.04
2,19.029568466042477,1323.31
2,19.029568466042477,1427.57
2,19.029568466042477,1172.73
2,19.029568466042477,730.46
2,19.029568466042477,1350.20
2,19.029568466042477,1216.09
2,19.029568466042477,1245.92
2,19.029568466042477,1515.97
2,19.029568466042477,719.07
2,19.029568466042477,673.93
2,19.029568466042477,702.94
2,19.029568466042477,1458.53
2,19.029568466042477,743.57
2,19.029568466042477,1524.85
2,19.029568466042477,1374.03
2,19.029568466042477,784.70
2,19.029568466042477,1413.79
2,19.029568466042477,686.16
2,19.029568466042477,1285.86
2,19.029568466042477,1373.77
2,19.029568466042477,1361.12
2,19.029568466042477,645.58
2,19.029568466042477,1482.51
2,19.029568466042477,1145.85
2,19.029568466042477,1358.59
2,19.029568466042477,1140.75
2,19.029568466042477,669.42
2,19.029568466042477,1427.74
2,19.029568466042477,1410.81
2,19.029568466042477,1400.28
2,19.029568466042477,1254.71
2,19.029568466042477,886.22
2,19.029568466042477,680.56
2,19.029568466042477,849.70
2,19.029568466042477,1205.76
2,19.029568466042477,1398.00
2,19.029568466042477,1102.54
2,19.029568466042477,856.98
2,19.029568466042477,1359.58
2,19.029568466042477,1315.04
2,19.029568466042477,1124.83
2,19.029568466042477,1065.49
2,19.029568466042477,725.12
2,19.029568466042477,632.68
2,19.029568466042477,778.46
2,19.029568466042477,1119.55
2,19.029568466042477,1310.65
2,19.029568466042477,1366.85
2,19.029568466042477,1104.33
2,19.029568466042477,854.39
